TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,,2P%,2P%D,3P%,3P%D,,,,,3PR,3PRD,ADJ T.,,,,,,,,WAB,,
"Arkansas Pine Bluff",71.244054631933,104.917337566,0.011529997483913,0–2,0,2,22.9,57.5,19.6,34.9,31.5,19.3,25,47.8,69.9,26.7,51.9,9.4,44.7,11.4,18.7,43.5,58.1,29.9,37.3,69.4,,,,2025,,,,-0.30025025965287,85.7,81.8
Toledo,96.947583333333,99.443416666667,0.42743818073996,0–2,0,2,43.3,61.5,30.8,47,24,14.6,25,28.3,75.1,44.3,70,28,22.2,4.4,14.3,51.1,58,41.7,23.1,73.2,,,,2025,,,,-0.3647261285636,62.2,76.4
Indiana,111.21128246068,79.385328248222,0.97970466477929,3–7,3,10,47.8,46.7,30.2,33,22.8,17.6,19.3,27,72,49.2,45.7,30.4,32.5,8.1,11.1,60.3,56.2,39.1,32.5,69.4,,,,2025,,,,1.4290937332507,80.6,71.5
Louisiana,88.151905926674,82.647690101324,0.67731471248999,0–1,0,1,41.1,48.2,22.6,71.9,24.8,26.1,15.9,51.6,80.6,36.6,50,33.3,20,0,17.1,45.5,37,33.9,8.8,75.5,,,,2025,,,,-0.10391562101121,42.9,73.2
"Central Michigan",81.952604011859,89.854285941291,0.25758575449652,0–2,0,2,43.4,55.3,24.8,37.4,32,22.8,23.4,35.8,81.2,35.2,60.3,38.1,32.1,3.8,15.5,65.9,67.2,37.2,40.5,78.8,,,,2025,,,,-0.34968019748306,71.4,73.5
Brown,92.513748290924,87.553771150808,0.65332738869848,0–2,0,2,41.9,51.5,13.7,20.1,20.5,18.4,16.7,41.4,70.7,40.7,51.7,28.6,34,2.3,11.1,47.5,59,53.8,35.1,72.7,,,,2025,,,,-0.25928874995028,56.3,85.2
Columbia,101.55191666667,81.724166666667,0.92400392823838,0–2,0,2,41.7,52.9,14.4,22.1,21.2,25.9,23.8,38.5,75.3,50,55.4,17.4,30,5.4,7,45.1,61.7,34.8,24.6,75.9,,,,2025,,,,-0.32910961446452,68.4,74.1
Tulane,105.75233333333,87.027333333333,0.90387944615046,0–1,0,1,43.8,44.4,23.3,21.3,16.1,17.3,28.6,42.2,81,38.6,48.4,34.5,18.8,9.4,13.6,40.7,61.8,39.7,20,75.9,,,,2025,,,,-0.10391562101121,58.8,82.4
BYU,98.13023008658,84.102233209647,0.85495652219072,0–7,0,7,46.5,50,19,27.3,28.5,16.6,22.2,30.1,71.9,43.8,47.1,33.8,36.3,9.8,11.5,52.3,68.7,39.6,39.3,71.3,,,,2025,,,,-1.0973628829738,73,73.4
"Illinois Chicago",113.23316666667,98.674833333333,0.8295753379059,0–1,0,1,49.2,53.7,25.8,38.8,25.1,17.2,33.3,48.5,75.7,36.8,48,45.8,47.1,10,13.2,72,62.5,38.7,25.4,71,,,,2025,,,,-0.22541152264878,75,73.1
Xavier,60.126409301203,82.697634565336,0.024952040403736,0–1,0,1,30.3,60.3,21.1,7.9,47.2,17.7,20.7,31,67.9,23.5,62.2,23.8,38.5,2.7,17.6,100,57.6,55.3,41.3,67.8,,,,2025,,,,-0.010644492385675,50,100
Charlotte,92.431947668284,101.40219455581,0.25632580897557,0–1,0,1,39.8,60.7,29.6,45.9,37.5,16.1,37.8,33.3,74.7,38.9,59.5,27.8,41.7,8.1,5.6,47.4,56.3,33.3,39.3,70.6,,,,2025,,,,-0.11107678724343,62.5,71.4
"Wake Forest",100.93798987548,91.185487179175,0.7628777675229,0–7,0,7,48.5,55.4,22.8,28.9,28.6,16.7,21.5,32,73.5,51.4,55,28.3,37.4,4.9,8.6,56,58.8,31.8,31.2,71,,,,2025,,,,-1.0624975268535,76.7,71.3
"Florida Atlantic",72.611792097514,81.304526467164,0.21410525958151,0–1,0,1,28.6,47.4,12.7,14.5,21.4,7.1,26.1,31.3,70.2,27.3,46.2,21.1,32.4,7.7,18.2,62.5,80,30.2,48.7,73.3,,,,2025,,,,-0.067166764399076,75,54.5
Villanova,103.38883140916,88.677266741357,0.85385646756309,0–6,0,6,39.3,59.7,14.1,24.4,20.2,18.6,26.2,31,65.3,35.5,60.7,29.9,38.3,6.6,11.4,55.9,63.9,40.6,31.8,65.3,,,,2025,,,,-0.66918192911674,74,73.2
"Utah St.",67.529852767356,88.928934285348,0.040481766441891,0–2,0,2,31.1,55,25.2,22.1,37.3,22.8,19.5,40.5,79,25,52.1,25.5,40.9,6.3,23.2,65.4,61.8,45.6,31.4,76.3,,,,2025,,,,-0.37474102955918,80.8,64.5
